Easting (m)	Northing (m)	Ground Surface (relative to TBM)	Bottom of Gravel Layer Depth (below ground surface)	Height (m)  (relative to TBM)	Height (m) AOD	Point	Feature							
416020.4	92813.5	0.07					9mE at 5m along path							
416021.3	92814.0	0.05					10mE at 5m along path							
416022.1	92814.5	0.03					11mE at 5m along path							
416023.0	92815.0	0.02					12mE at 5m along path							
416023.9	92815.4	0.03					13mE at 5m along path							
416024.8	92815.9	0.03					14mE at 5m along path							
416025.6	92816.4	0.00					15mE at 5m along path							
416026.5	92816.9	-0.03					16mE at 5m along path							
416027.3	92817.3	-0.06					17mE at 5m along path							
416028.1	92817.7	-0.07					18mE at 5m along path							
416028.9	92818.2	-0.04					19mE at 5m along path							
416029.8	92818.7	-0.03					20mE at 5m along path							
416030.7	92819.2	-0.03					21mE at 5m along path							
416031.6	92819.7	-0.05					22mE at 5m along path							
416032.4	92820.2	-0.06					23mE at 5m along path							
416033.0	92820.4	-0.25					23.5mE at 5m along path							
416013.0	92810.7	0.16					1.3mE at 4m along path							
416013.6	92811.0	0.13					2mE at 4m along path							
416015.4	92812.0	0.12					4mE at 4m along path							
416016.3	92812.5	0.10					5mE at 4m along path							
416017.2	92813.0	0.08					6mE at 4m along path							
416018.0	92813.4	0.07					7mE at 4m along path							
416018.9	92813.9	0.05					8mE at 4m along path							
416019.9	92814.5	0.04					9mE at 4m along path							
416020.7	92814.9	0.00					10mE at 4m along path							
416021.6	92815.4	0.00					11mE at 4m along path							
416022.5	92815.9	-0.01					12mE at 4m along path							
416023.4	92816.4	-0.02					13mE at 4m along path							
416024.2	92816.8	-0.03					14mE at 4m along path							
416025.0	92817.3	-0.05					15mE at 4m along path							
416026.0	92817.8	-0.04					16mE at 4m along path							
416026.8	92818.3	-0.03					17mE at 4m along path							
416027.6	92818.7	-0.10					18mE at 4m along path							
416028.4	92819.2	-0.09					19mE at 4m along path							
416029.3	92819.6	-0.04					20mE at 4m along path							
416030.2	92820.2	-0.05					21mE at 4m along path							
416031.0	92820.6	-0.06					22mE at 4m along path							
416032.0	92821.1	-0.05					23mE at 4m along path							
416032.8	92821.6	-0.15					24mE at 4m along path							
416012.7	92811.6	0.19					1.5mE at 3m along path							
416013.6	92812.1	0.15					2.5mE at 3m along path							
416014.9	92812.9	0.14					4mE at 3m along path							
416015.8	92813.3	0.09					5mE at 3m along path							
416016.7	92813.8	0.08					6mE at 3m along path							
